id,number_of_vertices,asymmetric_depth,degree_sequence,graph_representation,g6string
44,9,2,"(6, 4, 4, 4, 4, 2, 2, 2, 2)","{1: [8, 9, 5, 7], 2: [8, 6], 3: [9, 6], 4: [9, 7], 5: [1, 8], 6: [2, 3, 9, 7], 7: [1, 4, 6, 9], 8: [1, 2, 5, 9], 9: [1, 3, 4, 6, 7, 8]}",H?gqOnN
45,9,2,"(5, 5, 5, 4, 3, 3, 3, 1, 1)","{1: [8, 5, 7], 2: [8, 9, 6], 3: [6], 4: [7], 5: [1, 8, 9], 6: [2, 3, 7, 8, 9], 7: [1, 4, 6, 9], 8: [1, 2, 5, 6, 9], 9: [2, 5, 6, 7, 8]}",H?HHpmV
46,9,2,"(6, 5, 5, 4, 3, 3, 3, 2, 1)","{1: [8, 5, 7], 2: [8, 9, 6], 3: [6], 4: [9, 7], 5: [1, 8, 9], 6: [2, 3, 7, 8, 9], 7: [1, 4, 6, 9], 8: [1, 2, 5, 6, 9], 9: [2, 4, 5, 6, 7, 8]}",H?HHslv
47,9,2,"(5, 5, 4, 4, 4, 2, 2, 2, 2)","{1: [8, 9, 5, 7], 2: [8, 6], 3: [9, 6], 4: [9, 7], 5: [1, 8], 6: [2, 3, 8, 7], 7: [1, 4, 6, 9], 8: [1, 2, 5, 6, 9], 9: [1, 3, 4, 7, 8]}",H?h?xnL
48,9,2,"(5, 4, 4, 4, 3, 3, 2, 2, 1)","{1: [8, 5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 9, 7], 5: [1], 6: [2, 3, 9, 7], 7: [1, 4, 6, 9], 8: [1, 2, 4, 9], 9: [3, 4, 6, 7, 8]}",H?_YrGv
49,9,2,"(5, 4, 4, 3, 3, 3, 2, 2, 2)","{1: [8, 5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 9, 7], 5: [1, 9], 6: [2, 3, 9, 7], 7: [1, 4, 6, 9], 8: [1, 2, 4], 9: [3, 4, 5, 6, 7]}",HA?|?vJ
50,9,2,"(6, 4, 4, 4, 3, 3, 2, 2, 2)","{1: [8, 5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 9, 7], 5: [1, 9], 6: [2, 3, 9, 7], 7: [1, 4, 6, 9], 8: [1, 2, 4, 9], 9: [3, 4, 5, 6, 7, 8]}",H@BAoyn
51,9,2,"(4, 4, 4, 3, 3, 3, 3, 1, 1)","{1: [8, 5, 7], 2: [8, 9, 6], 3: [6], 4: [8, 9, 7], 5: [1], 6: [2, 3, 9, 7], 7: [1, 4, 6, 9], 8: [1, 2, 4], 9: [2, 4, 6, 7]}",H@H_o]R
52,9,2,"(5, 4, 4, 3, 3, 3, 3, 2, 1)","{1: [8, 5, 7], 2: [8, 9, 6], 3: [6], 4: [8, 9, 7], 5: [1, 9], 6: [2, 3, 9, 7], 7: [1, 4, 6], 8: [1, 2, 4, 9], 9: [2, 4, 5, 6, 8]}",H@@_|PZ
53,9,2,"(6, 4, 4, 4, 4, 2, 2, 2, 2)","{1: [8, 9, 5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 7], 5: [1, 9], 6: [2, 3, 9, 7], 7: [1, 4, 6, 9], 8: [1, 2, 4, 9], 9: [1, 3, 5, 6, 7, 8]}",H?gqGvN
